Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,11/26/2022,16464.28125,16521.57617,16666.86328,16416.22852
BTC,11/27/2022,16444.62695,16463.88281,16594.40625,16437.02539
BTC,11/28/2022,16217.32227,16440.22266,16482.93359,16054.53027
BTC,11/29/2022,16444.98242,16217.63965,16522.25781,16139.39648
BTC,11/30/2022,17168.56641,16445.47656,17190.9375,16445.47656
BTC,12/1/2022,16967.13281,17168.00195,17197.49805,16888.38867
BTC,12/2/2022,17088.66016,16968.68359,17088.66016,16877.88086
BTC,12/3/2022,16908.23633,17090.09766,17116.04102,16888.14063
BTC,12/4/2022,17130.48633,16908.16992,17157.76758,16903.43945
BTC,12/5/2022,16974.82617,17128.89453,17378.15234,16922.43164
BTC,12/6/2022,17089.50391,16975.23828,17091.86328,16939.92188
BTC,12/7/2022,16848.12695,17089.50586,17109.37695,16750.55859
BTC,12/8/2022,17233.47461,16847.34961,17267.91602,16788.7832
BTC,12/9/2022,17133.15234,17232.14844,17280.54688,17100.83594
BTC,12/10/2022,17128.72461,17134.2207,17216.82617,17120.68359
BTC,12/11/2022,17104.19336,17129.71094,17245.63477,17091.82031
BTC,12/12/2022,17206.4375,17102.5,17212.56445,16899.39453
BTC,12/13/2022,17781.31836,17206.44141,17930.08594,17111.76367
BTC,12/14/2022,17815.65039,17782.06641,18318.53125,17739.51367
BTC,12/15/2022,17364.86523,17813.64453,17846.74414,17322.58984
BTC,12/16/2022,16647.48438,17364.54688,17505.52539,16584.70117
BTC,12/17/2022,16795.0918,16646.98242,16800.58984,16614.0293
BTC,12/18/2022,16757.97656,16795.60938,16815.38672,16697.82031
BTC,12/19/2022,16439.67969,16759.04102,16807.52734,16398.13672
BTC,12/20/2022,16906.30469,16441.78711,17012.98438,16427.86719
BTC,12/21/2022,16817.53516,16904.52734,16916.80078,16755.91211
BTC,12/22/2022,16830.3418,16818.38086,16866.67383,16592.4082
BTC,12/23/2022,16796.95313,16829.64453,16905.21875,16794.45898
BTC,12/24/2022,16847.75586,16796.97656,16864.70313,16793.52734
BTC,12/25/2022,16841.98633,16847.50586,16860.55469,16755.25391
BTC,12/26/2022,16919.80469,16842.25,16920.12305,16812.36914
BTC,12/27/2022,16717.17383,16919.29102,16959.8457,16642.07227
BTC,12/28/2022,16552.57227,16716.40039,16768.16992,16497.55664
BTC,12/29/2022,16642.3418,16552.32227,16651.75586,16508.68359
BTC,12/30/2022,16602.58594,16641.33008,16643.42773,16408.47461
BTC,12/31/2022,16547.49609,16603.67383,16628.98633,16517.51953
BTC,1/1/2023,16625.08008,16547.91406,16630.43945,16521.23438
BTC,1/2/2023,16688.4707,16625.50977,16759.34375,16572.22852
BTC,1/3/2023,16679.85742,16688.84766,16760.44727,16622.37109
BTC,1/4/2023,16863.23828,16680.20508,16964.58594,16667.76367
BTC,1/5/2023,16836.73633,16863.47266,16884.02148,16790.2832
BTC,1/6/2023,16951.96875,16836.47266,16991.99414,16716.42188
BTC,1/7/2023,16955.07813,16952.11719,16975.01758,16914.19141
BTC,1/8/2023,17091.14453,16954.14648,17091.14453,16924.05078
BTC,1/9/2023,17196.55469,17093.99219,17389.95703,17093.99219
